FNAME	FID
20161208015953540+-+01+-+1+-+2+-+297407+-+YEP0PTD000SH|00|A|101634201915|01+-+3+-++-+YEP0PTD000SH|00|A|101634201915|01.U01	173
20161208020400877+-+01+-+1+-+1+-+297425+-+YEP0PTD000SH|00|A|101634201924|01+-+3+-++-+YEP0PTD000SH|00|A|101634201924|01.U01	183
20161208020152303+-+01+-+1+-+1+-+297413+-+YEP0PTD000SH|00|A|101634201918|01+-+3+-++-+YEP0PTD000SH|00|A|101634201918|01.U01	176
20161208013548458+-+01+-+1+-+1+-+297273+-+YEP0PTD000SH|00|A|101634201910|01+-+3+-++-+YEP0PTD000SH|00|A|101634201910|01.U01	102
20161208020806607+-+01+-+1+-+1+-+297449+-+YEP0PTD000SH|00|A|101634201936|01+-+3+-++-+YEP0PTD000SH|00|A|101634201936|01.U01	196
20161208015550656+-+01+-+1+-+1+-+297385+-+YEP0PTD000SH|00|A|101634201953|01+-+3+-++-+YEP0PTD000SH|00|A|101634201953|01.U01	162
20161208020826418+-+01+-+1+-+2+-+297451+-+YEP0PTD000SH|00|A|101634201976|01+-+3+-++-+YEP0PTD000SH|00|A|101634201976|01.U01	197
20161208013527374+-+01+-+1+-+2+-+297271+-+YEP0PTD000SH|00|A|101634201911|01+-+3+-++-+YEP0PTD000SH|00|A|101634201911|01.U01	101
20161208015228159+-+01+-+1+-+2+-+297367+-+YEP0PTD000SH|00|A|101634201943|01+-+5+-++-+YEP0PTD000SH|00|A|101634201943|01.U01	152
20161208014624885+-+01+-+1+-+1+-+297333+-+YEP0PTD000SH|00|A|101634202008|01+-+3+-++-+YEP0PTD000SH|00|A|101634202008|01.U01	134
20161208014828295+-+01+-+1+-+1+-+297345+-+YEP0PTD000SH|00|A|101634202002|01+-+3+-++-+YEP0PTD000SH|00|A|101634202002|01.U01	140
20161208015346643+-+01+-+1+-+1+-+297373+-+YEP0PTD000SH|00|A|101634201946|01+-+3+-++-+YEP0PTD000SH|00|A|101634201946|01.U01	156
20161208014523080+-+01+-+1+-+2+-+297327+-+YEP0PTD000SH|00|A|101634202011|01+-+3+-++-+YEP0PTD000SH|00|A|101634202011|01.U01	131
20161208015427247+-+01+-+1+-+1+-+297377+-+YEP0PTD000SH|00|A|101634201948|01+-+3+-++-+YEP0PTD000SH|00|A|101634201948|01.U01	158
20161208020405490+-+01+-+1+-+2+-+297427+-+YEP0PTD000SH|00|A|101634201925|01+-+5+-++-+YEP0PTD000SH|00|A|101634201925|01.U01	184
20161208015752802+-+01+-+1+-+1+-+297397+-+YEP0PTD000SH|00|A|101634201959|01+-+3+-++-+YEP0PTD000SH|00|A|101634201959|01.U01	168
